# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,value
0,42.0,0.0,19.2,0.98,15.5,2.06,sitting
250,42.0,0.0,19.33,0.94,11.0,0.82,sitting
500,42.0,0.0,17.5,0.5,12.5,0.5,sitting
750,42.0,0.0,17.0,1.41,13.33,0.94,sitting
1000,42.0,0.0,17.5,0.87,12.0,0.82,sitting
1250,42.0,0.0,18.0,0.0,10.0,0.82,sitting
1500,42.0,0.0,18.5,0.5,10.0,0.0,sitting
1750,42.0,0.0,18.25,0.43,12.33,1.7,sitting
2000,41.75,0.43,18.0,0.0,4.0,1.58,sitting
2250,42.0,0.0,17.75,0.43,2.5,0.87,sitting
2500,42.0,0.0,15.75,1.3,5.75,2.28,sitting
2750,42.0,0.0,15.25,0.43,1.0,0.0,sitting
3000,42.0,0.0,16.75,0.83,3.5,1.12,sitting
3250,41.75,0.43,16.0,1.0,6.33,3.86,sitting
3500,42.0,0.0,17.75,0.43,7.75,3.42,sitting
3750,42.0,0.0,18.25,0.43,9.0,0.82,sitting
4000,42.0,0.0,18.33,0.47,7.0,0.82,sitting
4250,42.0,0.0,18.0,0.71,10.5,2.06,sitting
4500,42.0,0.0,17.25,0.83,8.25,4.49,sitting
4750,42.0,0.0,17.25,1.3,7.67,2.05,sitting
5000,42.0,0.0,15.25,0.43,12.0,1.58,sitting
5250,42.0,0.0,15.5,0.87,11.5,1.12,sitting
5500,42.0,0.0,16.75,1.09,9.33,2.36,sitting
5750,42.0,0.0,17.5,0.5,11.0,0.71,sitting
6000,42.0,0.0,16.5,1.5,11.5,0.5,sitting
6250,42.0,0.0,18.0,0.0,14.25,0.83,sitting
6500,42.0,0.0,18.0,0.0,11.25,0.83,sitting
6750,42.0,0.0,18.25,0.43,12.0,0.82,sitting
7000,42.0,0.0,16.0,1.22,14.67,0.94,sitting
7250,42.0,0.0,14.75,0.43,13.33,0.47,sitting
7500,42.0,0.0,14.67,0.47,13.0,0.82,sitting
7750,42.0,0.0,15.0,0.0,12.5,0.5,sitting
8000,42.0,0.0,15.67,0.94,11.75,0.43,sitting
8250,42.0,0.0,15.75,0.83,9.5,1.12,sitting
8500,42.25,0.43,16.0,0.71,6.67,0.47,sitting
8750,42.0,0.0,15.0,0.0,5.33,0.94,sitting
9000,42.0,0.0,14.5,0.5,8.0,0.71,sitting
9250,42.0,0.0,15.0,0.0,4.0,0.0,sitting
9500,42.0,0.0,15.25,0.43,2.5,0.5,sitting
9750,42.0,0.0,15.0,0.0,3.0,1.0,sitting
10000,42.0,0.0,15.25,0.43,3.0,0.71,sitting
10250,42.0,0.0,15.67,0.47,2.0,0.0,sitting
10500,42.0,0.0,17.25,0.83,2.0,0.0,sitting
10750,42.0,0.0,17.5,0.5,3.25,1.3,sitting
11000,42.0,0.0,16.75,0.43,6.67,0.47,sitting
11250,42.0,0.0,16.5,0.87,9.0,1.22,sitting
11500,42.0,0.0,14.75,0.43,10.0,0.0,sitting
11750,42.0,0.0,13.33,0.47,9.5,0.5,sitting
12000,42.0,0.0,14.5,0.87,10.25,1.3,sitting
12250,42.0,0.0,14.5,0.87,5.0,3.67,sitting
12500,42.0,0.0,15.0,0.0,3.0,2.16,sitting
12750,42.0,0.0,16.25,0.83,11.25,2.86,sitting
13000,42.0,0.0,18.0,0.0,15.0,0.71,sitting
13250,41.5,0.5,17.5,0.5,15.0,0.0,sitting
13500,41.5,0.5,17.67,0.47,15.33,0.47,sitting
13750,41.75,0.43,17.25,0.43,15.75,0.83,sitting
14000,41.67,0.47,17.25,0.83,15.0,0.82,sitting
14250,41.5,0.5,14.0,1.22,14.33,0.47,sitting
14500,41.67,0.47,12.0,0.0,13.0,0.71,sitting
14750,41.5,0.5,12.75,1.3,13.75,1.3,sitting
15000,42.0,0.0,14.25,0.83,13.75,0.83,sitting
15250,42.0,0.0,13.5,1.5,10.0,1.63,sitting
15500,42.0,0.0,12.0,0.0,9.33,0.47,sitting
15750,42.0,0.0,13.33,0.94,7.25,1.3,sitting
16000,42.0,0.0,13.25,0.43,6.25,0.83,sitting
16250,42.0,0.0,12.25,0.43,6.25,0.43,sitting
16500,42.0,0.0,12.0,0.0,5.33,1.25,sitting
16750,42.0,0.0,11.25,1.3,7.67,2.05,sitting
17000,42.0,0.0,10.0,0.82,10.33,0.94,sitting
17250,42.0,0.0,9.0,0.0,11.33,0.47,sitting
17500,42.0,0.0,10.67,1.25,13.67,1.25,sitting
17750,42.0,0.0,10.5,1.12,17.5,1.66,sitting
18000,41.67,0.47,8.67,2.49,12.0,5.61,sitting
18250,40.5,1.12,13.0,0.71,3.0,0.82,sitting
18500,40.75,0.43,12.5,0.87,2.67,1.25,sitting
18750,41.25,0.83,13.25,1.3,4.25,1.48,sitting
19000,41.25,0.83,14.75,0.43,6.33,1.25,sitting
19250,41.25,0.83,14.75,0.43,6.25,1.48,sitting
19500,41.0,1.0,15.0,0.0,7.0,0.82,sitting
19750,41.5,0.5,15.0,0.0,6.5,0.5,sitting
20000,41.75,0.43,13.0,2.16,11.33,0.47,sitting
20250,41.5,0.5,10.75,2.17,8.0,2.24,sitting
20500,41.5,0.5,10.75,0.83,6.0,4.08,sitting
20750,41.25,0.83,13.0,1.63,8.0,0.0,sitting
21000,41.5,0.5,10.75,1.3,11.5,0.5,sitting
21250,41.67,0.47,9.75,0.83,10.67,1.25,sitting
21500,42.0,0.0,11.0,1.22,9.0,2.12,sitting
21750,42.0,0.0,11.25,0.83,8.6,3.38,sitting
22000,42.0,0.0,12.0,0.0,13.0,0.82,sitting
22250,42.0,0.0,12.0,0.0,11.75,0.43,sitting
22500,42.0,0.0,14.0,1.0,10.67,0.47,sitting
22750,41.75,0.43,19.25,2.49,14.75,2.77,sitting
23000,41.5,0.5,20.5,0.5,13.0,1.0,sitting
23250,41.5,0.5,20.75,0.43,11.75,0.43,sitting
23500,41.5,0.5,20.75,0.43,11.75,1.09,sitting
23750,41.5,0.5,19.75,0.43,11.75,0.43,sitting
24000,41.5,0.5,19.75,0.83,11.5,2.06,sitting
24250,41.75,0.43,19.25,1.3,15.0,2.12,sitting
24500,42.0,0.0,20.5,0.87,12.33,0.47,sitting
24750,43.25,0.43,20.75,0.43,10.75,1.3,sitting
25000,43.5,0.5,20.5,0.5,13.0,0.71,sitting
25250,43.5,0.5,20.75,0.43,10.0,1.22,sitting
25500,43.0,0.71,18.75,2.28,11.5,6.02,sitting
25750,42.5,0.5,18.0,0.0,14.0,1.22,sitting
26000,42.25,0.43,18.5,0.87,13.0,1.22,sitting
26250,42.5,0.5,20.0,0.0,14.33,0.94,sitting
26500,42.5,0.5,19.67,0.47,10.33,0.47,sitting
26750,42.67,0.47,18.75,0.83,12.0,0.82,sitting
27000,42.5,0.5,18.25,0.43,13.0,1.22,sitting
27250,42.0,0.0,18.0,0.0,14.0,0.71,sitting
27500,42.25,0.43,19.0,1.0,13.25,1.09,sitting
27750,42.33,0.47,19.67,0.47,14.75,1.48,sitting
28000,42.67,0.47,17.67,0.47,14.75,0.83,sitting
28250,42.75,0.43,16.25,1.09,12.5,1.12,sitting
28500,42.5,0.5,13.0,2.0,14.0,1.22,sitting
28750,42.5,0.5,14.0,1.22,10.0,2.74,sitting
